stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
nansanhuan,2017-01-01 14:00:00,431.0,467.0,147.0,6.5,3.0,14.0,beijing_grid_303,-2.52,1019.24,58.06,316.7,3.37
nansanhuan,2017-01-01 15:00:00,426.0,444.0,144.0,6.7,3.0,13.0,beijing_grid_303,-2.47,1019.45,57.3,328.81,5.81
nansanhuan,2017-01-01 16:00:00,420.0,451.0,136.0,0.7,3.0,13.0,beijing_grid_303,-2.17,1019.59,52.96,335.14,8.16
nansanhuan,2017-01-01 17:00:00,417.0,446.0,128.0,7.4,3.0,13.0,beijing_grid_303,-1.87,1019.73,48.62,338.61,10.56
nansanhuan,2017-01-01 18:00:00,426.0,465.0,124.0,0.8,3.0,12.0,beijing_grid_303,-1.57,1019.87,44.28,340.8,12.98
nansanhuan,2017-01-01 19:00:00,426.0,466.0,113.0,8.2,3.0,12.0,beijing_grid_303,-1.86,1020.12,44.6,341.52,13.0
nansanhuan,2017-01-01 20:00:00,300.0,433.8,131.0,5.9,2.0,12.0,beijing_grid_303,-2.14,1020.37,44.93,342.24,13.02
nansanhuan,2017-01-01 21:00:00,175.0,401.6,108.0,3.3,2.0,11.0,beijing_grid_303,-2.42,1020.63,45.25,342.96,13.04
nansanhuan,2017-01-01 22:00:00,85.0,369.4,94.0,0.2,2.0,13.0,beijing_grid_303,-2.73,1021.08,45.38,342.15,11.95
nansanhuan,2017-01-01 23:00:00,43.0,337.2,98.0,1.5,3.0,15.0,beijing_grid_303,-3.04,1021.53,45.51,341.17,10.87
nansanhuan,2017-01-02 00:00:00,245.0,305.0,116.0,6.3,4.0,11.0,beijing_grid_303,-3.35,1021.98,45.65,339.98,9.78
nansanhuan,2017-01-02 01:00:00,351.0,389.0,121.0,8.1,4.0,10.0,beijing_grid_303,-1.01,1022.19,39.0,336.74,8.79
nansanhuan,2017-01-02 02:00:00,423.0,450.0,154.0,8.6,4.0,12.0,beijing_grid_303,1.32,1022.39,32.36,332.69,7.82
nansanhuan,2017-01-02 03:00:00,423.0,447.07142857142856,166.0,8.4,5.0,14.0,beijing_grid_303,3.66,1022.6,25.72,327.53,6.91
nansanhuan,2017-01-02 04:00:00,371.0,444.14285714285717,172.0,7.3,7.0,19.0,beijing_grid_303,4.49,1022.09,24.9,312.91,3.82
nansanhuan,2017-01-02 05:00:00,367.0,441.2142857142857,165.0,6.7,10.0,23.0,beijing_grid_303,5.32,1021.57,24.08,251.7,1.99
nansanhuan,2017-01-02 06:00:00,313.0,438.2857142857143,161.0,5.3,16.0,26.0,beijing_grid_303,6.14,1021.06,23.26,194.27,3.98
