stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,station_id,temperature,pressure,humidity,wind_direction,wind_speed
fangshan,2017-01-30 16:00:00,114.0,119.0,35.0,1.5,48.0,35.0,fangshan,-2.6,1026.1,14,215.0,3.3
fangshan,2017-01-30 17:00:00,116.0,120.0,30.0,1.5,52.0,31.0,fangshan,-2.7,1025.8,15,217.0,3.5
fangshan,2017-01-30 18:00:00,117.0,120.83333333333333,27.0,1.5,51.0,28.0,fangshan,-2.8,1025.6,17,228.0,3.2
fangshan,2017-01-30 19:00:00,118.0,121.66666666666667,26.0,1.3,50.0,28.0,fangshan,-2.8,1025.0,18,228.0,1.8
fangshan,2017-01-30 20:00:00,118.0,122.5,26.0,1.4,48.0,29.0,fangshan,-3.1,1024.1,17,209.0,2.4
fangshan,2017-01-30 21:00:00,106.0,123.33333333333333,24.0,1.3,46.0,28.0,fangshan,-3.9,1023.9,19,216.0,1.7
fangshan,2017-01-30 22:00:00,110.0,124.16666666666667,33.0,1.4,35.0,37.0,fangshan,-4.7,1023.2,23,233.0,0.4
fangshan,2017-01-30 23:00:00,122.0,125.0,58.0,1.9,12.0,38.0,fangshan,-6.0,1023.4,29,0.0,0.0
fangshan,2017-01-31 00:00:00,134.0,131.0,60.0,2.1,9.0,39.0,fangshan,-6.4,1023.6,28,0.0,0.0
fangshan,2017-01-31 01:00:00,137.0,137.0,57.0,0.2,13.0,46.0,fangshan,-3.4,1023.7,26,0.0,0.0
fangshan,2017-01-31 02:00:00,137.0,143.0,54.0,0.2,24.0,46.0,fangshan,-0.8,1023.5,20,228.0,0.8
fangshan,2017-01-31 03:00:00,149.0,138.28571428571428,40.0,1.6,50.0,47.0,fangshan,0.6,1023.3,15,256.0,1.3
fangshan,2017-01-31 04:00:00,97.0,133.57142857142858,37.0,1.1,64.0,38.0,fangshan,1.7,1022.2,11,230.0,1.9
fangshan,2017-01-31 05:00:00,86.0,128.85714285714286,33.0,0.9,74.0,42.0,fangshan,3.7,1021.1,10,180.0,1.3
