stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,station_id,temperature,pressure,humidity,wind_direction,wind_speed
huairou,2017-01-30 16:00:00,45.0,53.0,29.0,1.2,24.0,13.0,huairou,-5.2,1022.8,27,30.0,0.8
huairou,2017-01-30 17:00:00,47.0,51.0,20.0,1.3,29.0,11.0,huairou,-5.3,1022.4,31,25.0,0.6
huairou,2017-01-30 18:00:00,50.0,56.0,18.0,1.1,25.0,11.0,huairou,-5.3,1022.3,31,273.0,0.3
huairou,2017-01-30 19:00:00,49.0,56.0,20.0,1.3,23.0,10.0,huairou,-5.3,1021.6,32,338.0,1.1
huairou,2017-01-30 20:00:00,44.0,46.0,18.0,1.1,31.0,9.0,huairou,-5.7,1020.8,36,308.0,1.7
huairou,2017-01-30 21:00:00,43.0,46.0,16.237361424022872,1.2,29.0,9.0,huairou,-6.0,1020.1,37,307.0,1.5
huairou,2017-01-30 22:00:00,43.0,48.0,17.0,1.1,31.0,9.0,huairou,-6.2,1019.8,31,323.0,0.9
huairou,2017-01-30 23:00:00,46.0,53.0,22.0,1.3,23.0,10.0,huairou,-6.9,1019.7,37,109.0,0.5
huairou,2017-01-31 00:00:00,53.0,69.0,31.0,1.4,13.0,10.0,huairou,-7.7,1020.0,51,325.0,0.7
huairou,2017-01-31 01:00:00,67.0,80.0,32.0,1.7,14.0,15.0,huairou,-5.9,1020.1,36,307.0,0.5
huairou,2017-01-31 02:00:00,72.0,87.0,35.0,1.2,29.0,17.0,huairou,-1.8,1019.9,23,131.0,1.3
huairou,2017-01-31 03:00:00,80.0,98.0,30.0,1.1,51.0,19.0,huairou,-0.2,1019.7,16,123.0,2.2
huairou,2017-01-31 04:00:00,80.0,99.0,26.0,0.1,66.0,21.0,huairou,0.9,1018.7,15,133.0,2.1
huairou,2017-01-31 05:00:00,70.0,79.0,24.0,0.9,74.0,19.0,huairou,2.6,1017.3,13,128.0,1.9
huairou,2017-01-31 06:00:00,68.0,82.0,24.0,0.9,80.0,19.0,huairou,3.6,1016.5,12,73.0,1.3
huairou,2017-01-31 07:00:00,60.0,81.0,28.0,0.9,77.0,20.0,huairou,3.7,1016.2,12,87.0,2.0
huairou,2017-01-31 08:00:00,57.0,74.0,26.0,0.8,81.0,21.0,huairou,3.8,1016.4,12,105.0,2.6
huairou,2017-01-31 09:00:00,56.0,71.0,28.0,0.8,77.0,20.0,huairou,3.2,1017.2,12,91.0,1.2
