stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
liulihe,2017-01-01 14:00:00,376.0,447.0,116.0,5.5,2.0,16.0,beijing_grid_216,-2.22,1014.7,62.93,284.29,4.28
liulihe,2017-01-01 15:00:00,369.0,407.0,133.0,5.6,2.0,17.0,beijing_grid_216,-2.37,1014.86,65.78,297.82,4.39
liulihe,2017-01-01 16:00:00,361.0,389.0,134.0,5.7,2.0,18.0,beijing_grid_216,-2.58,1014.99,65.35,308.15,4.19
liulihe,2017-01-01 17:00:00,354.0,377.56807461248906,137.0,5.9,2.0,17.0,beijing_grid_216,-2.79,1015.13,64.93,319.12,4.14
liulihe,2017-01-01 18:00:00,356.0,360.0,137.0,6.2,2.0,16.0,beijing_grid_216,-2.99,1015.26,64.5,329.98,4.24
liulihe,2017-01-01 19:00:00,315.0,343.4212436062548,135.0,6.2,2.0,14.0,beijing_grid_216,-3.3,1015.53,64.8,324.88,4.1
liulihe,2017-01-01 20:00:00,287.0,327.83180543125354,133.0,5.9,2.001145420076111,14.0,beijing_grid_216,-3.6,1015.8,65.09,319.47,3.99
liulihe,2017-01-01 21:00:00,254.0,313.231685474996,123.0,5.6,2.0,13.0,beijing_grid_216,-3.9,1016.07,65.39,313.81,3.92
liulihe,2017-01-01 22:00:00,231.0,299.62088373748236,119.0,5.5,2.0,12.0,beijing_grid_216,-4.11,1016.55,66.12,302.15,2.97
liulihe,2017-01-01 23:00:00,224.0,286.9994002187126,118.0,5.5,2.0,11.0,beijing_grid_216,-4.33,1017.04,66.85,281.53,2.25
liulihe,2017-01-02 00:00:00,223.0,275.3672349186867,120.0,5.8,2.0,12.0,beijing_grid_216,-4.54,1017.52,67.58,250.16,2.01
liulihe,2017-01-02 01:00:00,233.0,264.93688990095603,116.0,0.6,2.0,11.0,beijing_grid_216,-1.83,1017.8,55.91,234.42,3.75
liulihe,2017-01-02 02:00:00,248.0,255.92086722907175,114.0,0.6,2.0,12.0,beijing_grid_216,0.87,1018.07,44.25,228.82,5.59
liulihe,2017-01-02 03:00:00,264.0,248.31916690303404,110.0,5.9,4.0,13.0,beijing_grid_216,3.58,1018.34,32.58,226.01,7.46
liulihe,2017-01-02 04:00:00,287.0,242.13178892284287,113.0,5.8,10.0,19.0,beijing_grid_216,4.23,1017.82,32.57,223.37,7.91
liulihe,2017-01-02 05:00:00,343.0,237.35873328849817,120.0,5.7,23.0,36.0,beijing_grid_216,4.87,1017.3,32.56,221.02,8.38
liulihe,2017-01-02 06:00:00,3.0,234.0,112.03412025148664,4.8,37.0,43.0,beijing_grid_216,5.51,1016.77,32.55,218.92,8.86
liulihe,2017-01-02 07:00:00,3.0,233.0,103.0,3.8,49.0,37.0,beijing_grid_216,3.34,1016.59,42.29,222.07,8.32
liulihe,2017-01-02 08:00:00,231.0,240.0,108.0,3.6,44.0,31.0,beijing_grid_216,1.17,1016.41,52.02,225.65,7.81
liulihe,2017-01-02 09:00:00,307.0,255.79321727620277,115.0,0.4,31.0,26.0,beijing_grid_216,-1.0,1016.22,61.76,229.7,7.34
liulihe,2017-01-02 10:00:00,344.0,280.3544528842002,119.0,4.3,19.0,17.0,beijing_grid_216,-1.34,1016.27,62.43,231.7,7.55
liulihe,2017-01-02 11:00:00,351.0,313.68370682399234,122.0,4.6,8.0,19.0,beijing_grid_216,-1.69,1016.31,63.11,233.58,7.78
liulihe,2017-01-02 12:00:00,354.0,352.74991480289714,128.0,4.6,4.0,21.0,beijing_grid_216,-2.03,1016.36,63.78,235.36,8.01
liulihe,2017-01-02 13:00:00,384.0,394.5220125282331,139.0,5.4,2.0,17.0,beijing_grid_216,-2.12,1015.92,63.31,234.83,8.21
liulihe,2017-01-02 14:00:00,412.0,439.0,155.0,6.2,2.0,17.0,beijing_grid_216,-2.2,1015.49,62.84,234.33,8.42
liulihe,2017-01-02 15:00:00,434.0,481.0,164.0,7.9,2.0,23.0,beijing_grid_216,-2.28,1015.06,62.36,233.85,8.62
liulihe,2017-01-02 16:00:00,428.0,488.0,157.0,7.8,2.0,20.0,beijing_grid_216,-2.53,1014.78,62.42,231.7,7.58
liulihe,2017-01-02 17:00:00,412.0,455.0,157.0,7.9,2.0,18.0,beijing_grid_216,-2.77,1014.49,62.49,228.87,6.56
liulihe,2017-01-02 18:00:00,417.0,435.0,141.0,8.2,2.0,14.0,beijing_grid_216,-3.01,1014.21,62.55,225.0,5.55
liulihe,2017-01-02 19:00:00,419.0,445.0,136.0,8.9,2.0,14.0,beijing_grid_216,-3.36,1013.89,64.32,215.64,4.05
liulihe,2017-01-02 20:00:00,406.0,456.4037739581633,117.0,10.2,2.0,13.0,beijing_grid_216,-3.72,1013.57,66.1,196.67,2.78
