stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,stationName,temperature,pressure,humidity,wind_direction,wind_speed
zhiwuyuan,2017-01-01 14:00:00,458.0,490.0,157.0,8.1,8.0,5.0,beijing_grid_262,-1.78,1001.97,45.56,316.51,7.18
zhiwuyuan,2017-01-01 15:00:00,442.0,497.0,154.0,0.8,8.0,5.0,beijing_grid_262,-1.48,1002.21,43.29,320.17,9.65
zhiwuyuan,2017-01-01 16:00:00,441.0,493.0,151.0,0.8,9.0,5.0,beijing_grid_262,-1.52,1002.37,43.37,320.94,10.97
zhiwuyuan,2017-01-01 17:00:00,241.0,498.0728138399538,93.0,4.8,17.0,4.0,beijing_grid_262,-1.57,1002.52,43.44,321.54,12.29
zhiwuyuan,2017-01-01 18:00:00,13.0,499.7288122644318,31.0,0.5,33.0,4.0,beijing_grid_262,-1.62,1002.67,43.51,322.03,13.61
zhiwuyuan,2017-01-01 19:00:00,7.0,497.96799527343387,30.0,0.7,50.0,2.0,beijing_grid_262,-1.95,1002.88,44.26,322.18,13.29
zhiwuyuan,2017-01-01 20:00:00,9.0,492.79036286696004,27.0,0.5,57.0,2.0,beijing_grid_262,-2.29,1003.09,45.02,322.35,12.96
zhiwuyuan,2017-01-01 21:00:00,27.0,484.19591504501034,38.0,0.7,37.0,2.0,beijing_grid_262,-2.62,1003.3,45.77,322.52,12.63
zhiwuyuan,2017-01-01 22:00:00,24.0,472.1846518075848,28.0,0.7,60.0,2.0,beijing_grid_262,-2.87,1003.69,45.65,321.57,11.66
zhiwuyuan,2017-01-01 23:00:00,20.0,456.75657315468334,36.0,0.8,42.0,6.0,beijing_grid_262,-3.12,1004.09,45.54,320.46,10.69
zhiwuyuan,2017-01-02 00:00:00,18.0,439.0323078424071,26.0,0.6,54.0,7.0,beijing_grid_262,-3.36,1004.49,45.42,319.12,9.73
zhiwuyuan,2017-01-02 01:00:00,17.0,420.132484626857,24.0,0.6,53.0,8.0,beijing_grid_262,-1.19,1004.67,38.97,319.29,8.27
zhiwuyuan,2017-01-02 02:00:00,14.0,400.05710350803304,23.0,0.5,58.0,7.0,beijing_grid_262,0.98,1004.85,32.51,319.53,6.82
zhiwuyuan,2017-01-02 03:00:00,11.0,378.8061644859355,19.0,0.4,64.0,4.0,beijing_grid_262,3.15,1005.03,26.05,319.9,5.37
zhiwuyuan,2017-01-02 04:00:00,13.0,356.37966756056414,27.0,0.8,59.0,8.0,beijing_grid_262,4.0,1004.51,24.81,305.83,1.92
zhiwuyuan,2017-01-02 05:00:00,3.0,332.7776127319189,46.0,1.7,69.0,8.0,beijing_grid_262,4.85,1003.99,23.56,169.35,1.89
zhiwuyuan,2017-01-02 06:00:00,145.0,308.0,76.0,3.1,62.0,11.0,beijing_grid_262,5.71,1003.47,22.32,155.06,5.34
zhiwuyuan,2017-01-02 07:00:00,234.0,287.0,85.0,3.8,66.0,11.0,beijing_grid_262,3.61,1003.26,29.18,165.48,5.88
zhiwuyuan,2017-01-02 08:00:00,253.0,291.0,93.0,4.2,63.0,11.0,beijing_grid_262,1.52,1003.05,36.04,173.92,6.58
zhiwuyuan,2017-01-02 09:00:00,251.0,269.0,94.0,3.9,55.0,11.0,beijing_grid_262,-0.57,1002.83,42.91,180.62,7.4
zhiwuyuan,2017-01-02 10:00:00,199.0,204.0,85.0,3.2,47.0,10.0,beijing_grid_262,-1.14,1002.84,46.42,188.15,6.42
zhiwuyuan,2017-01-02 11:00:00,204.0,206.0,86.0,3.4,33.0,5.0,beijing_grid_262,-1.7,1002.85,49.92,198.15,5.58
